Слово,Орфоэпическая транскрипция,Слово с ударением
перетягивать,~ p' i1 r' i1 * t' a0 g' + i4 v a4 + t',перетя0гивать
переулок,~ p' i1 r' i1 * u0 l + a4 g,переу0лок
перехвалить,~ p' i1 r' i1 * h v a1 l' + i0 / t',перехвали0ть
переход,~ p' i1 r' i1 * h o0 t,перехо0д
перрону,* p' i1 r o0 n / u4,перро0ну
песен,* p' e0 s' i4,пе0сен
песни,* p' e0 s' n' / i4,пе0сни
песню,* p' e0 s' n' / u4,пе0сню
песчаный,* p' i1 + sc + a0 n / y4 j,песча0ный
петербургский,* p' i1 t' i1 r b u0 r + k s / k' i4,петербу0ргский
петровича,* p' i1 t r + o0 v' + i4 ch / a4,петро0вича
петровна,* p' i1 t r + o0 v + n / a4,петро0вна
петровны,* p' i1 t r + o0 v + n / y4,петро0вны
петька,* p' e0 t' + k / a4,пе0тька
петьки,* p' e0 t' + k' / i4,пе0тьки
печали,* p' i1 ch a0 l' / i4,печа0ли
печально,* p' i1 ch a0 l' + n + a4,печа0льно
печального,* p' i1 ch a0 l' + n / a4 v a4,печа0льного
печатают,* p' i1 ch a0 t + a4 / j u4 c,печа0тают
печатными,* p' i1 ch a0 t + n / y4 m' i4,печа0тными
пешком,* p' i1 sh + k + o0 m,пешко0м
пивного,* p' i1 v + n / o0 v a4,пивно0го
пиджак,* p' i1 d zh a0 k,пиджа0к
пижамах,* p' i1 zh a0 m / a4 h,пижа0мах
пижамные,* p' i1 zh a0 m + n / y4 j i4,пижа0мные
пижамных,* p' i1 zh a0 m + n / y4 h,пижа0мных
пижаму,* p' i1 zh a0 m / u4,пижа0му
пил,* p' i0 + l,пи0л
пили,* p' i0 + l' / i4,пи0ли
пинг-понг,* p' i1 n - p o0 n k,пинг-по0нг
пирог,* p' i1 r o0 k,пиро0г
пирожное,* p' i1 r o0 zh + n / a4 j i4,пиро0жное
писал,* p' i1 s + a0 + l,писа0л
писатели,* p' i1 s + a0 + t' i4 l' / -,писа0тели
писать,* p' i1 s + a0 / d',писа0ть
писем,* p' i0 s' + i4 m,пи0сем
письма,* p' i0 s' + m / a4,пи0сьма
письменный,* p' i0 s' + m' + i4 n - / y4 j -,пи0сьменный
письмо,* p' i1 s' + m / o0,письмо0
питание,* p' i1 t + a0 + n' i4 - / i4,пита0ние
пить,* p' i0 / t',пи0ть
пишет,* p' i0 sh / y4 t,пи0шет
пишут,* p' i0 sh / u4 t,пи0шут
плавали,* p l a0 v + a4 + l' / i4,пла0вали
плавают,* p l a0 v + a4 / j u4 t,пла0вают
плакала,* p l a0 k + a4 + l / a4,пла0кала
план,* l a0 n n',пла0н
плане,* l a0 n' i4 / k,пла0не
планы,* p l a0 n / y4,пла0ны
пластинки,* p l a1 s t' + i0 n + k' / i4,пласти0нки
пластмассовую,* p l a1 s * m a0 s + a4 v / u4 j u4,пластма0ссовую
пластмассовые,* p l a1 s * m a0 s + a4 v / y4 j i4,пластма0ссовые
пластмассовых,* p l a1 s * m a0 s + a4 v / y4 h,пластма0ссовых
пластмассы,* p l a1 s * m a0 s / y4,пластма0ссы
платком,* p l a1 t + k / o0 m,платко0м
платье,* p l a0 t' j / i4,пла0тье
платьев,* p l a0 t' j / i4 f,пла0тьев
платья,* p l a0 t' + j / a4,пла0тья
платьях,* p l a0 t' j / i4 h,пла0тьях
плачем,* p l a0 ch / i4 m,пла0чем
плащей,* p l a1 sc / e0 j,плаще0й
племянник,* p l' i1 m' a0 - + n' i4 k,племя0нник
племянника,* p l' i1 m' a0 - + n' i4 k / a4,племя0нника
племянникам,* p l' i1 m' a0 n' + i4 k / a4 m,племя0нникам
племянником,* p l' i1 m' a0 + n' i4 k / a4 m,племя0нником
плетеное,* l' i1 t' o0 + n n / a4 j -,плете0ное
плетеный,* p l' i1 t' + o0 n / y4 j,плете0ный
плетут,* p l' i1 t / u0 t,плету0т
плечами,* p l' i1 ch / a0 m' i4,плеча0ми
плечах,* p l' i1 ch / a0 h,плеча0х
плечи,* p l' e0 ch / i4,пле0чи
плитам,* p l' i0 t / a4 m,пли0там
плитах,* p l' i0 t / a4 h,пли0тах
плохих,* p l a1 h' / i0 h,плохи0х
плохо,* p l o0 h + a4,пло0хо
плохого,* p l a1 h / o0 v a4,плохо0го
плохое,* p l a1 h / o0 - i4,плохо0е
плохой,* p l a1 h / o0 j,плохо0й
плохому,* p l a1 h / o0 m u4,плохо0му
площади,* p l o0 sc i4 d' / i4,пло0щади
площадке,* p l a1 sc a0 t + k' / i4,площа0дке
площадь,* p l o0 sc a4 t',пло0щадь
пляж,* p l' a0 sh,пля0ж
пляжем,* p l' a0 zh / y4 m,пля0жем
пнях,* p n' / a0 h,пня0х
по-видимому,~ p a1 * v' i0 d' + i4 m + a4 m u4,по-ви0димому
по-военному,~ p a2 * v a1 j e0 n + - + a4 m u4,по-вое0нному
по-женски,~ p a1 * zh e0 n + s k' i4,по-же0нски
по-каковски,~ p a2 * k a1 k + o0 f + s k' i4,по-како0вски
по-моему,~ p a1 * m o0 + - i4 m u4,по-мо0ему
по-настоящему,~ p a2 ~ n a2 * s t a1 + j a0 sc + i4 m u4,по-настоя0щему
по-отечески,~ p a2 * a1 t' e0 ch + i4 s k' + i4,по-оте0чески
по-прежнему,~ p a1 * p r' e0 zh n' + i4 m u4,по-пре0жнему
по-разному,~ p a1 * r a0 z n / a4 m u4,по-ра0зному
по-своему,~ p a1 * s v o0 + - i4 m u4,по-сво0ему
по-человечески,~ p a2 * ch i1 l a1 v' e0 ch + i4 s k' / i4,по-челове0чески
по-честному,~ p a1 * ch e0 s + n / a4 m u4,по-че0стному
побаиваются,~ p a1 * b + a0 + i4 v a4 / j u4 ^ c a4,поба0иваются
победил,* p a2 b' i1 d' + i0 / l,победи0л
побежал,~ p a2 * b' i1 zh + a0 + l,побежа0л
побежала,~ p a2 * b' i1 zh + a0 + l / a4,побежа0ла
побеждают,* p a2 b' i1 zh d + a0 / j u4 t,побежда0ют
побежденный,* p a2 b' i1 zh d' + o0 n / y4 j,побежде0нный
побежит,~ p a2 * b' i1 zh / y0 d,побежи0т
побеседуем,~ p a2 * b' i1 s' e0 d + u4 / j i4 m,побесе0дуем
поблагодарить,~ p a2 * b l a2 g a2 d a1 r' + i0 + t',поблагодари0ть
побледнел,~ p a2 * b l' i1 d n' + e0 + l,побледне0л
поблескивающих,~ p a1 * b l' o0 s k' + i4 v a4 + j u4 sc / i4 h,побле0скивающих
поближе,~ p a1 * b l' i0 zh + y4,побли0же
поблизости,~ p a1 * b l' i0 z + a4 s' t' / i4,побли0зости
побольше,~ p a1 * b o0 l' + sh + y4,побо0льше
поборами,~ p a1 * b o0 r / a4 m' i4,побо0рами
побрился,~ p a1 * b r' i0 + l ^ s' a4,побри0лся
побудившие,~ p a2 * b u1 d' + i0 + f sh / y4 j i4,побуди0вшие
побуревший,~ p a2 * b u1 r' + e0 + f sh / y4 j,побуре0вший
побыстрее,~ p a2 * b y1 s t r' + e0 - i4,побыстре0е
побыть,~ p a1 * b y0 / t',побы0ть
поверил,~ p a1 * v' e0 r' + i4 + l,пове0рил
поверит,~ p a1 * v' e0 r' / i4 t,пове0рит
повернитесь,~ p a2 * v' i1 r + n' + i0 t' i4 ^ s',поверни0тесь
повернулась,~ p a2 * v' i1 r + n u0 + l / a4 ^ s',поверну0лась
повернулся,~ p a2 * v' i1 r + n u0 + l ^ s' a4,поверну0лся
повернуться,~ p a2 * v' i1 r + n u0 ^ c a4,поверну0ться
поверхности,~ p a1 * v' e0 r h + n + a4 s' t' / i4,пове0рхности
поверь,~ p a1 * v' e0 r',пове0рь
повеселел,~ p a2 * v' i1 s' i1 l' + e0 + l,повеселе0л
повесил,~ p a1 * v' e0 s' + i4 + l,пове0сил
повесила,~ p a1 * v' e0 s' + i4 + l / a4,пове0сила
повесили,~ p a1 * v' e0 s' + i4 + l' / i4,пове0сили
повесить,~ p a1 * v' e0 s' + i4 / t',пове0сить
повзрослел,~ p a2 ~ v z * r a1 s + l' + e0 + l,повзросле0л
повода,~ p o0 * v a4 d / a4,по0вода
поводу,~ p o0 * v a4 d / u4,по0воду
поворачивается,~ p a2 * v a1 r a0 ch + i4 v - / j i4 c ^ c a4,повора0чивается
поворачиваться,~ p a2 * v a1 r a0 ch + i4 v a4 ^ c a4,повора0чиваться
повсюду,~ p a1 * f s' u0 d u4,повсю0ду
повторил,~ p a2 * f t a1 r' + i0 + l,повтори0л
повторила,~ p a2 * f t a1 r' + i0 + l / a4,повтори0ла
повторит,~ p a2 * f t a1 r' / i0 c,повтори0т
повторяет,~ p a2 * f t a1 r' + a0 / - i4 t,повторя0ет
повторял,~ p a2 * f t a1 r' + a0 + l,повторя0л
повторять,~ p a2 * f t a1 r' + a0 / t',повторя0ть
повысил,~ p a1 * v y0 s' + i4 + l,повы0сил
повышением,~ p a2 * v y1 sh + e0 n' i4 j / i4 m,повыше0нием
поглаживала,~ p a1 * g l a0 zh + y4 v a4 + l / a4,погла0живала
поглаживать,~ p a1 * g l a0 zh + y4 v a4 / t',погла0живать
поглядеть,~ p a2 * g l' i1 d' + e0 / t',погляде0ть
поглядим,~ p a2 * g l' i1 d' / i0 m,погляди0м
поглядывал,~ p a1 * g l' a0 d + y4 v a4 + l,погля0дывал
поглядывала,~ p a1 * g l' a0 d + y4 v a4 + l / a4,погля0дывала
поглядывая,~ p a1 * g l' a0 d + y4 v a4 + j a4,погля0дывая
поговорим,~ p a2 * g a2 v a1 r' / i0 m,поговори0м
поговорить,~ p a2 * g a2 v a1 r' + i0 / t',поговори0ть
погода,* - p a1 g o0 d / a4,пого0да
поголовно,~ p a2 * g a1 l o0 v + n + a4,поголо0вно
погостить,~ p a2 * g a1 s' t' + i0 / d',погости0ть
погромче,~ p a1 * g r o0 m + ch + i4,погро0мче
погружается,~ p a2 * g r u1 zh + a0 / - i4 ^ c a4,погружа0ется
погубить,~ p a2 * g u1 b' + i0 / t',погуби0ть
погуляй,~ p a2 * g u1 l' ^ a0 j,погуля0й
подавленный,~ p a1 * d a0 v + l' + i4 n / n y4,пода0вленный
подает,~ p a2 * d a1 / j o0 t,подае0т
подальше,~ p a1 * d a0 l' + sh + y4,пода0льше
подарки,~ p a1 * d a0 r + k' / i4,пода0рки
подарком,~ p a1 * d a0 r + k / a4 m,пода0рком
подарок,~ p a1 * d a0 r + a4 k,пода0рок
подбородка,~ p a2 d * b a1 r o0 t + k / a4,подборо0дка
подбородке,~ p a2 d * b a1 r o0 t + k' / i4,подборо0дке
подбрасывал,~ p a1 d * b r a0 s + y4 v a4 + l,подбра0сывал
подбрасывать,~ p a1 d * b r a0 s + y4 v a4 / t',подбра0сывать
подбросил,~ p a1 d * b r o0 s' + i4 + l,подбро0сил
подвалом,~ p a1 d * v a0 l / a4 m,подва0лом
подвернулось,~ p a2 d * v' i1 r + n u0 + l / a4 ^ s',подверну0лось
подвигов,* p o0 d v' i4 g / a4 f,по0двигов
подвластно,~ p a1 d * v l a0 s + n + a4,подвла0стно
подглядел,~ p a2 d * g l' i1 d' + e0 + l,подгляде0л
подготовилась,~ p a2 d * g a1 t o0 v' + i4 + l / a4 ^ s',подгото0вилась
подготовить,~ p a2 d * g a1 t o0 v' + i4 / t',подгото0вить
подготовь,~ p a2 d * g a1 t o0 f',подгото0вь
поддержал,~ p a2 * d' i1 r zh + a0 + l,поддержа0л
поддержала,~ p a2 * d' d' i1 r + zh + a0 / l,поддержа0ла
поддержали,~ p a2 * d i1 r zh + a0 + l' / i4,поддержа0ли
поддерживали,~ p a1 * d' e0 r zh + y4 v a4 + l' / i4,подде0рживали
поделаешь,~ p a1 * d' e0 + l / a4 j i4,поде0лаешь
поделать,~ p a1 * d' e0 + l + a4 / d',поде0лать
поделится,~ p a1 * d' e0 l' / i4 c ^ - a4,поде0лится
поделиться,~ p a2 * d' i1 l' + i0 ^ c a4,подели0ться
подержите,~ p a1 * d' e0 r zh + y4 + t' i4,поде0ржите
подземелье,~ p a2 d * z' i1 m' e0 + l' + j / i4,подземе0лье
подземелья,~ p a2 d * z' i1 m' e0 + l' + j / a4,подземе0лья
подкладкой,~ p a1 t * k l a0 t + k / a4 j,подкла0дкой
подкрадется,~ p a2 t * k r a1 d' / o0 ^ c a4,подкраде0тся
подкрасила,~ p a1 t * k r a0 s' + i4 + l / a4,подкра0сила
подлизывался,~ p a1 d * l' i0 z + y4 v a4 + l ^ s',подли0зывался
подлиннее,~ p a2 * d l' i1 + n' + e0 j i4,подлинне0е
подметить,~ p a1 d * m' e0 t' + i4 / t',подме0тить
подмосковный,~ p a2 d * m a1 s k o0 v + n / y4 j,подмоско0вный
поднимал,~ p a2 d * n' i1 m + a0 + l,поднима0л
поднимала,~ p a2 d * n' i1 m + a0 + l / a4,поднима0ла
поднималась,~ p a2 d * n' i1 m + a0 + l / a4 ^ s',поднима0лась
поднимались,~ p a2 d * n' i1 m + a0 + l' / i4 ^ s',поднима0лись
подниматься,~ p a2 d * n' i1 m + a0 ^ c a4,поднима0ться
поднимающий,~ p a2 d * n' i1 m + a0 + j u4 sc / i4 j,поднима0ющий
поднялась,~ p a2 d * n' i1 + l / a0 ^ s',подняла0сь
поднялись,~ p a2 d * n' i1 + l' / i0 ^ s',подняли0сь
поднялся,~ p a1 d * n' a0 + l ^ s' a4,подня0лся
поднятыми,~ p o0 d * n' a4 + t / y4 m' i4,по0днятыми
поднять,~ p a1 d * n' a0 / d',подня0ть
подняться,~ p a1 d * n' a0 ^ c a4,подня0ться
подобного,~ p a1 * d o0 b + n / a4 v a4,подо0бного
подождала,~ p a2 d a1 * zh d + a0 + l / a4,подожда0ла
подождать,~ p a2 d a1 * zh d + a0 / t',подожда0ть
подозрением,~ p a2 d a1 * z r' + e0 n' i4 j / i4 m,подозре0нием
подозрительно,~ p a2 d a1 * z r' + i0 + t' i4 l' n + a4,подозри0тельно
подойдет,~ p a2 d a1 * j d' / o0 t,подойде0т
подоконниках,~ a2 d a1 * k o0 n' + n' i4 k / a4 -,подоко0нниках
подолгу,~ p a1 * d o0 l g + u4,подо0лгу
подошел,~ p a2 d a1 * sh o0 + l,подоше0л
подпоясанном,~ p a2 t * p a1 j a0 s + a4 + n - / a4 m,подпоя0санном
подражать,~ p a2 d * r a1 zh + a0 / t',подража0ть
подробно,~ p a1 * d r o0 b + n + a4,подро0бно
подробностях,~ p a1 * d r o0 b + n + a4 s t' / i4 h,подро0бностях
подросший,~ p a1 d * r o0 + sh / y4 j,подро0сший
подруг,~ p a1 * d r u0 k,подру0г
подружились,~ p a2 * d r u1 zh + y0 + l' / i4 ^ s',подружи0лись
подряд,~ p a1 d * r' a0 t,подря0д
подслеповатым,~ p a2 * c l' i1 p + a1 v a0 t / y4 m,подслепова0тым
подслушал,~ a1 c * s l u0 sh + a4 + l,подслу0шал
подслушать,~ p a1 * c l u0 sh + a4 / t',подслу0шать
подслушивать,~ p a1 * c l u0 sh + y4 v a4 / t',подслу0шивать
подсмеивался,~ p a1 * c m' e0 + i4 v a4 + l ^ s' a4,подсме0ивался
подсобить,~ p a2 c * s a1 b' + i0 / t',подсоби0ть
подсобной,~ p a1 c * s o0 b + n / a4 -,подсо0бной
подсчитала,~ p a2 ch * sc i1 t + a0 + l / a4,подсчита0ла
подтвердила,~ p a2 * t v' i1 r d' + i0 + l / a4,подтверди0ла
подтвердилось,~ p a2 * t t v' i1 r + d' + i0 / l ^ a4,подтверди0лось
подтвердит,~ p a2 * t v' i1 r d' / i0 t,подтверди0т
подтеки,~ p a1 * t' o0 k' / i4,подте0ки
подтолкнуть,~ p a2 * t a1 l k + n u0 / d',подтолкну0ть
подумав,~ p a1 * d u0 m + a4 + f,поду0мав
подумает,~ p a1 * d u0 m + a4 / j i4 t,поду0мает
подумай,~ p a1 * d u0 m + a4 j,поду0май
подумайте,~ p a1 * d u0 m + a4 j + t' i4,поду0майте
подумал,~ p a1 * d u0 m + a4 + l,поду0мал
подумала,~ p a1 * d u0 m + a4 + l / a4,поду0мала
подумали,~ p a1 * d u0 m + a4 + l' / i4,поду0мали
подумать,~ p a1 * d u0 m + a4 / t',поду0мать
подумаю,~ p a1 * d u0 m + a4 / j u4,поду0маю
подушка,~ p a1 d * u0 sh + k / a4,поду0шка
подушки,~ p a1 d * u0 sh + k' / i4,поду0шки
подходила,~ p a2 t * h a1 d' + i0 + l / a4,подходи0ла
подходили,~ p a2 t * h a1 d' + i0 + l' / i4,подходи0ли
подходит,~ - a1 t * h o0 d' / i4 t,подхо0дит
подходить,~ p a2 t * h a1 d' + i0 / t',подходи0ть
подходящую,~ p a2 t * h a1 d' + a0 sc + u4 j u4,подходя0щую
подчеркивало,~ p a1 * ch o0 r k' + i4 v a4 + l / a4,подче0ркивало
подчеркивать,~ p a1 * ch o0 r k' + i4 v a4 / t',подче0ркивать
подшучивает,~ p a1 ch * sh u0 ch + i4 v a4 / j i4 t,подшу0чивает
подъезд,~ p a1 d * j e0 s t,подъе0зд
подъезда,~ p a1 d * j e0 z d / a4,подъе0зда
подъездам,~ p a1 d * j e0 z d / a4 m,подъе0здам
подъездах,~ p a1 d * j e0 z d / a4 h,подъе0здах
подъездов,~ p a1 d * j e0 z d / a4 f,подъе0здов
подъезжают,~ p a2 d * j i1 zh + a0 / j u4 t,подъезжа0ют
подымалась,~ p a2 * d y1 m + a0 + l / a4 ^ s',подыма0лась
подыскивалось,~ p a1 d * y0 s k' + i4 v a4 + l / a4 ^ s',поды0скивалось
